From https://www.unicode.org/cldr/charts/latest/supplemental/locale_coverage.html
Last accessed 2025-05-07
Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
dyo	Jola-Fonyi	joola	Latn	SN	1		≡		ICU	96.10%	8.00%	23.20%	65.30%	100.00%	
nus	Nuer	Thok Nath	Latn	SS	1		≡		ICU	89.80%	6.30%	18.50%	65.30%	100.00%	ⓑ own_regions
nnh	Ngiemboon	Shwóŋò ngiembɔɔn	Latn	CM	1		≡		ICU	87.10%	4.30%	14.10%	64.00%	100.00%	
lrc	Northern Luri	‫لۊری شومالی‬	Arab	IR	2		≡		ICU	99.80%	8.60%	17.80%	62.50%	100.00%	ⓑ own_regions
dav	Taita	Kitaita	Latn	KE	1		≡		ICU	94.30%	11.70%	33.30%	61.30%	100.00%	
ebu	Embu	Kĩembu	Latn	KE	1		≡		ICU	94.30%	11.70%	33.30%	61.30%	100.00%	
bez	Bena	Hibena	Latn	TZ	1		≡		ICU	94.70%	11.00%	32.80%	61.30%	100.00%	
asa	Asu	Kipare	Latn	TZ	1		≡		ICU	94.80%	11.00%	32.70%	61.30%	100.00%	
bem	Bemba	Ichibemba	Latn	ZM	1		≡		ICU	77.90%	4.30%	13.30%	61.30%	100.00%	
mas	Masai	Maa	Latn	KE	2		≡		ICU	89.70%	10.70%	31.90%	60.50%	100.00%	
tzm	Central Atlas Tamazight	Tamaziɣt n laṭlaṣ	Latn	MA	1		≡		ICU	94.80%	10.60%	30.60%	60.50%	100.00%	
vai	Vai	ꕙꔤ	Vaii	LR	1		≡		ICU	94.40%	10.80%	26.40%	60.30%	100.00%	
luy	Luyia	Luluhia	Latn	KE	1		≡		ICU	95.00%	11.60%	33.10%	60.00%	100.00%	
teo	Teso	Kiteso	Latn	UG	2		≡		ICU	89.90%	10.90%	32.50%	59.20%	100.00%	
kde	Makonde	Chimakonde	Latn	TZ	1		≡		ICU	94.20%	11.60%	33.10%	58.70%	100.00%	
guz	Gusii	Ekegusii	Latn	KE	1		≡		ICU	94.20%	11.60%	33.00%	58.70%	100.00%	
kam	Kamba	Kikamba	Latn	KE	1		≡		ICU	94.20%	11.60%	33.00%	58.70%	100.00%	
kln	Kalenjin	Kalenjin	Latn	KE	1		≡		ICU	94.20%	11.60%	33.00%	58.70%	100.00%	
luo	Luo	Dholuo	Latn	KE	1		≡		ICU	96.90%	11.60%	32.90%	58.70%	100.00%	
ki	Kikuyu	Gikuyu	Latn	KE	1		≡		ICU	94.20%	11.50%	32.90%	58.70%	100.00%	
mer	Meru	Kĩmĩrũ	Latn	KE	1		≡		ICU	94.20%	11.50%	32.70%	58.70%	100.00%	
rof	Rombo	Kihorombo	Latn	TZ	1		≡		ICU	90.30%	10.90%	32.50%	58.70%	100.00%	
saq	Samburu	Kisampur	Latn	KE	1		≡		ICU	89.90%	10.90%	32.50%	58.70%	100.00%	
ksb	Shambala	Kishambaa	Latn	TZ	1		≡		ICU	94.60%	10.90%	32.40%	58.70%	100.00%	
rwk	Rwa	Kiruwa	Latn	TZ	1		≡		ICU	94.60%	10.90%	32.40%	58.70%	100.00%	
jmc	Machame	Kimachame	Latn	TZ	1		≡		ICU	90.30%	10.90%	32.40%	58.70%	100.00%	
vun	Vunjo	Kyivunjo	Latn	TZ	1		≡		ICU	90.30%	10.90%	32.40%	58.70%	100.00%	
xog	Soga	Olusoga	Latn	UG	1		≡		ICU	94.80%	10.90%	32.30%	58.70%	100.00%	
cgg	Chiga	Rukiga	Latn	UG	1		≡		ICU	90.40%	10.80%	32.20%	58.70%	100.00%	
naq	Nama	Khoekhoegowab	Latn	NA	1		≡		ICU	86.30%	10.30%	32.00%	58.70%	100.00%	
mgh	Makhuwa-Meetto	Makua	Latn	MZ	1		≡		ICU	96.40%	8.00%	22.90%	58.70%	100.00%	
az_Cyrl	Azeri (Cyrillic)	азәрбајҹан (Кирил)	Cyrl	AZ	1		≡		ICU	96.30%	13.60%	30.40%	57.60%	100.00%	
ses	Koyraboro Senni	Koyraboro senni	Latn	ML	1		≡		ICU	96.90%	11.50%	32.60%	57.30%	100.00%	
sg	Sango	Sängö	Latn	CF	1		≡		ICU	94.70%	11.40%	32.50%	57.30%	100.00%	
khq	Koyra Chiini	Koyra ciini	Latn	ML	1		≡		ICU	96.90%	11.40%	32.50%	57.30%	100.00%	
lag	Langi	Kɨlaangi	Latn	TZ	1		≡		ICU	92.70%	10.30%	31.80%	57.30%	100.00%	
seh	Sena	sena	Latn	MZ	1		≡		ICU	94.50%	10.60%	31.50%	57.30%	100.00%	
ff	Fula	Pulaar	Latn	SN	12		≡		ICU	94.80%	10.80%	30.80%	57.30%	100.00%	
kab	Kabyle	Taqbaylit	Latn	DZ	1		≡		ICU	9.90%	10.10%	20.50%	57.10%	100.00%	
kkj	Kako	kakɔ	Latn	CM	1		≡		ICU	86.70%	4.00%	13.20%	57.10%	100.00%	
lg	Ganda	Luganda	Latn	UG	1		≡		ICU	94.60%	10.80%	32.10%	56.00%	100.00%	
nyn	Nyankole	Runyankore	Latn	UG	1		≡		ICU	90.20%	10.80%	32.10%	56.00%	100.00%	
nd	North Ndebele	isiNdebele	Latn	ZW	1		≡		ICU	89.80%	10.70%	32.00%	56.00%	100.00%	
bo	Tibetan	བོད་སྐད་	Tibt	CN	2		≡		ICU	42.60%	4.10%	10.40%	55.70%	100.00%	
bm	Bambara	bamanakan	Latn	ML	1		≡		ICU	94.20%	11.30%	32.00%	53.90%	100.00%	
mfe	Morisyen	kreol morisien	Latn	MU	1		≡		ICU	97.30%	11.30%	32.00%	53.30%	100.00%	
kaa	Kara-Kalpak	қарақалпақша	Cyrl	UZ	1		≡			99.40%	12.00%	29.30%	52.60%	100.00%	
mzn	Mazanderani	‫مازرونی‬	Arab	IR	1		≡		ICU	99.70%	22.70%	36.40%	51.60%	100.00%	
kl	Kalaallisut	kalaallisut	Latn	GL	1		≡		ICU	65.70%	29.40%	9.80%	50.60%	100.00%	
pap	Papiamento	Papiamentu	Latn	CW	2		≡			3.10%	1.20%	4.50%	50.00%	100.00%	
vai_Latn	Vai (Latin)	Vai (Latn)	Latn	LR	1		≡		ICU	93.40%	9.90%	28.00%	48.70%	100.00%	
gv	Manx	Gaelg	Latn	IM	1		≡		ICU	32.00%	1.50%	6.00%	48.00%	100.00%	
kw	Cornish	kernewek	Latn	GB	1		≡		ICU	45.30%	1.40%	5.60%	48.00%	100.00%	
lkt	Lakota	Lakȟólʼiyapi	Latn	US	1		≡		ICU	84.40%	4.60%	8.90%	46.70%	100.00%	
osa	Osage	𐓏𐓘𐓻𐓘𐓻𐓟	Osge	US	1		≡			65.80%	2.00%	5.50%	45.30%	100.00%	
mus	Muscogee	Mvskoke	Latn	US	1		≡			56.20%	1.50%	5.20%	45.30%	100.00%	
cic	Chickasaw	Chikashshanompaʼ	Latn	US	1		≡			48.70%	1.20%	4.30%	45.30%	100.00%	
shi_Latn	Tachelhit (Latin)	Tashelḥiyt (Latn)	Latn	MA	1		≡		ICU	92.20%	9.70%	28.40%	45.30%	100.00%	
shi	Tachelhit	ⵜⴰⵛⵍⵃⵉⵜ	Tfng	MA	1		≡		ICU	92.10%	8.90%	22.70%	45.30%	100.00%	
uz_Arab	Uzbek (Arabic)	‫اوزبیک (عربی)‬	Arab	AF	0		≡		ICU	60.40%	1.70%	4.90%	43.90%	100.00%	
cad	Caddo	Caddo	Latn	US	1		≡			44.90%	1.10%	4.00%	42.70%	100.00%	
gn	Guarani	avañe’ẽ	Latn	PY	1		≡			36.40%	1.00%	4.00%	42.70%	100.00%	
pa_Arab	Punjabi (Arabic)	‫پنجابی (عربی)‬	Arab	PK	0		≡		ICU	99.10%	26.80%	5.40%	40.20%	100.00%	
bss	Akoose	Akoose	Latn	CM	1		≡			100.00%	1.40%	4.90%	38.70%	100.00%	
ms_Arab	Malay (Arabic)	‫بهاس ملايو (عرب)‬	Arab	MY	2		≡			57.70%	4.90%	10.90%	37.10%	100.00%	
hnj	Hmong Njua	𞄀𞄄𞄰𞄩𞄍𞄜𞄰	Hmnp	US	1		≡			99.00%	2.50%	6.60%	32.60%	100.00%	
cho	Choctaw	Chahta	Latn	US	1		≡			100.00%	0.70%	2.80%	30.70%	100.00%	
rhg	Rohingya	‫𐴌𐴗𐴥𐴝𐴙𐴚𐴒𐴙𐴝‬	Rohg	MM	2		≡			100.00%	16.40%	6.80%	29.50%	100.00%	ⓑ own_regions
bgn	Western Balochi	‫بلوچی [رخشانی]‬	Arab	PK	5		≡			100.00%	8.80%	14.70%	27.30%	100.00%	ⓑ own_regions
az_Arab	Azeri (Arabic)	‫تۆرکجه‬	Arab	IR	0		≡			100.00%	2.00%	3.70%	25.70%	100.00%	ⓑ own_regions
ss	Swati	siSwati	Latn	ZA	2		≡			28.80%	0.60%	2.30%	25.00%	100.00%	ⓑ own_regions
bal	Baluchi	‫بلۆچی‬	Arab	PK	1		≡			9.40%	0.70%	2.20%	24.20%	100.00%	
iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ	Cans	CA	1		≡			70.50%	1.50%	4.40%	23.70%	100.00%	
nr	South Ndebele	isiNdebele	Latn	ZA	1		≡			25.00%	0.50%	2.10%	22.70%	100.00%	ⓑ own_regions
ve	Venda	Tshivenḓa	Latn	ZA	1		≡			22.70%	0.50%	2.10%	22.70%	100.00%	ⓑ own_regions
sms	Skolt Sami	sääʹmǩiõll	Latn	FI	1		≡			7.70%	0.50%	2.00%	22.70%	100.00%	
shn	Shan	တႆး	Mymr	MM	2		≡			100.00%	0.40%	1.50%	21.10%	100.00%	
ann	Obolo	Obolo	Latn	NG	1		≡			100.00%	0.50%	1.80%	20.80%	100.00%	ⓑ own_regions
mn_Mong	Mongolian (Mongolian)	mn (Mong)	Mong	CN	0		≡			100.00%	0.90%	2.60%	19.00%	100.00%	ⓑ own_language, ⓑ own_regions
sdh	Southern Kurdish	‫کوردی خوارگ‬	Arab	IR	2		≡			100.00%	0.60%	1.90%	18.80%	100.00%	ⓑ own_regions
la	Latin	Latina	Latn	VA	1		≡			1.60%	0.40%	1.70%	18.20%	100.00%	
byn	Blin	ብሊን	Ethi	ER	1		≡			3.90%	0.40%	1.30%	18.20%	100.00%	
tig	Tigre	ትግረ	Ethi	ER	1		≡			3.90%	0.40%	1.30%	18.20%	100.00%	
wal	Wolaytta	ወላይታቱ	Ethi	ET	1		≡			5.20%	0.40%	1.30%	18.20%	100.00%	
sat_Deva	Santali (Devanagari)	सानताड़ी (देवानागारी)	Deva	IN	1		≡			66.70%	0.50%	1.60%	17.90%	100.00%	ⓑ own_regions
mni_Mtei	Manipuri (Meitei Mayek)	ꯃꯤꯇꯩꯂꯣꯟ (ꯃꯤꯇꯩ ꯃꯌꯦꯛ)	Mtei	IN	1		≡			63.60%	0.50%	1.50%	17.90%	100.00%	ⓑ own_regions
en_Shaw	English (Shavian)	en (Shaw)	Shaw	GB	1		≡			97.00%	2.10%	5.40%	17.50%	100.00%	ⓑ own_language, ⓑ own_regions
ssy	Saho	Saho	Latn	ER	1		≡			14.90%	0.40%	1.60%	17.30%	100.00%	
wbp	Warlpiri	Warlpiri	Latn	AU	1		≡			100.00%	0.40%	1.40%	17.30%	100.00%	ⓑ own_regions
cu	Church Slavic	церковнослове́нскїй	Cyrl	RU	1		≡			2.40%	0.40%	1.20%	17.10%	100.00%	
dv	Divehi	‫ދިވެހިބަސް‬	Thaa	MV	1		≡			39.30%	0.30%	1.10%	17.10%	100.00%	
ab	Abkhazian	Аԥсшәа	Cyrl	GE	1		≡			1.20%	0.60%	1.70%	16.90%	100.00%	
an	Aragonese	aragonés	Latn	ES	1		≡			1.00%	0.40%	1.50%	16.90%	100.00%	
co	Corsican	corsu	Latn	FR	1		≡			1.40%	0.40%	1.30%	16.90%	100.00%	
myv	Erzya	эрзянь кель	Cyrl	RU	1		≡			2.50%	0.30%	1.20%	16.90%	100.00%	
scn	Sicilian	sicilianu	Latn	IT	1		≡			0.60%	0.40%	1.10%	16.90%	100.00%	
frr	Northern Frisian	Nordfriisk	Latn	DE	1		≡			0.10%	0.30%	1.00%	16.90%	100.00%	
rif	Riffian	Tarifit	Latn	MA	1		≡			0.60%	0.30%	1.10%	16.70%	100.00%	
ny	Nyanja	Nyanja	Latn	MW	1		≡			25.00%	0.40%	1.60%	16.00%	100.00%	ⓑ own_regions
kaj	Jju	Kaje	Latn	NG	1		≡			19.10%	0.40%	1.60%	16.00%	100.00%	ⓑ own_regions
kcg	Tyap	Katab	Latn	NG	1		≡			20.30%	0.40%	1.60%	16.00%	100.00%	ⓑ own_regions
moh	Mohawk	Kanienʼkéha	Latn	CA	1		≡			100.00%	0.40%	1.60%	16.00%	100.00%	ⓑ own_regions
cch	Atsam	Atsam	Latn	NG	1		≡			19.00%	0.40%	1.60%	16.00%	100.00%	ⓑ own_regions
quc	Kʼicheʼ	Kʼicheʼ	Latn	GT	1		≡			100.00%	30.70%	1.40%	16.00%	100.00%	ⓑ own_regions
jbo	Lojban	la .lojban.	Latn	1	1		≡			69.20%	0.30%	1.40%	16.00%	100.00%	ⓑ own_regions
io	Ido	Ido	Latn	1	1		≡			100.00%	0.30%	1.30%	16.00%	100.00%	ⓑ own_regions
wa	Walloon	walon	Latn	BE	1		≡			100.00%	0.30%	1.30%	16.00%	100.00%	ⓑ own_regions
arn	Mapuche	Mapudungun	Latn	CL	1		≡			100.00%	0.30%	1.30%	16.00%	100.00%	ⓑ own_regions
mic	Mi'kmaw	Lʼnuiʼsuti	Latn	CA	1		≡			47.10%	0.30%	1.30%	16.00%	100.00%	ⓑ own_regions
nv	Navajo	Diné Bizaad	Latn	US	1		≡			100.00%	0.30%	1.30%	16.00%	100.00%	ⓑ own_regions
ken	Kenyang	Kɛnyaŋ	Latn	CM	1		≡			100.00%	0.30%	1.30%	16.00%	100.00%	ⓑ own_regions
ltg	Latgalian	latgalīšu	Latn	LV	1		≡			9.30%	0.30%	1.30%	16.00%	100.00%	
sid	Sidamo	Sidaamu Afo	Latn	ET	1		≡			15.70%	0.30%	1.20%	16.00%	100.00%	
trv	Taroko	patas Taroko	Latn	TW	1		≡			5.70%	0.40%	1.20%	16.00%	100.00%	ⓑ own_regions
blt	Tai Dam	ꪼꪕꪒꪾ	Tavt	VN	1		≡			100.00%	0.30%	1.10%	16.00%	100.00%	ⓑ own_regions
ba	Bashkir	башҡорт теле	Cyrl	RU	1		≡			100.00%	0.30%	1.00%	16.00%	100.00%	ⓑ own_regions
mdf	Moksha	мокшень кяль	Cyrl	RU	1		≡			12.30%	0.30%	1.00%	16.00%	100.00%	ⓑ own_regions
bew	Betawi	Betawi	Latn	ID	1		≡			0.20%	0.30%	0.90%	16.00%	100.00%	
kpe	Kpelle	Kpɛlɛɛ	Latn	LR	2		≡			100.00%	0.40%	1.60%	15.80%	100.00%	ⓑ own_regions
sma	Southern Sami	Åarjelsaemien gïele	Latn	SE	2		≡			100.00%	0.30%	1.40%	15.80%	100.00%	ⓑ own_regions
smj	Lule Sami	julevsámegiella	Latn	SE	2		≡			100.00%	0.30%	1.40%	15.80%	100.00%	ⓑ own_regions
gez	Geez	ግዕዝኛ	Ethi	ET	2		≡			2.90%	0.30%	1.00%	15.80%	100.00%	
aa	Afar	Qafar	Latn	ET	3		≡			15.20%	0.50%	1.50%	15.60%	100.00%	
bm_Nkoo	Bambara (N’Ko)	bm (Nkoo)	Nkoo	ML	1		≡			14.50%	0.30%	1.10%	15.40%	100.00%	ⓑ own_language, ⓑ own_regions
skr	Saraiki	‫سرائیکی‬	Arab	PK	1		≡			13.50%	0.30%	1.10%	13.70%	100.00%	
trw	Torwali	‫توروالی‬	Arab	PK	1		≡			0.30%	0.30%	1.00%	13.70%	100.00%	
mhn	Mócheno	mhn	Latn	IT	1		≡			100.00%	0.30%	1.00%	13.30%	100.00%	ⓑ own_language, ⓑ own_regions
tyv	Tuvinian	tyv	Cyrl	RU	1		≡			100.00%	0.20%	0.80%	13.30%	100.00%	ⓑ own_language, ⓑ own_regions
cop	Coptic	cop	Copt	EG	1		≡			100.00%	0.20%	0.70%	13.30%	100.00%	ⓑ own_language, ⓑ own_regions
iu_Latn	Inuktitut (Latin)	iu (Latn)	Latn	CA	1		≡			100.00%	0.30%	1.10%	13.20%	100.00%	ⓑ own_language, ⓑ own_regions
kaa_Latn	Kara-Kalpak (Latin)	kaa (Latn)	Latn	UZ	1		≡			100.00%	0.20%	1.00%	13.20%	100.00%	ⓑ own_language, ⓑ own_regions
apc	Levantine Arabic	‫العامية‬	Arab	SY	1		≡			12.90%	0.30%	1.00%	12.60%	100.00%	ⓑ own_regions
kk_Arab	Kazakh (Arabic)	‫قازاق ءتىلى [توتە]‬	Arab	CN	0		≡			0.20%	0.50%	1.30%	12.40%	100.00%	
zh_Latn	Chinese (Latin)	zh (Latn)	Latn	CN	1		≡			100.00%	0.30%	1.00%	12.00%	100.00%	ⓑ own_language, ⓑ own_regions
ha_Arab	Hausa (Arabic)	ha (Arab)	Arab	NG	2		≡			17.50%	0.30%	1.00%	11.20%	100.00%	ⓑ own_language, ⓑ own_regions
tok	Toki Pona	toki pona	Latn	1	1		≡		ICU	31.70%	2.80%	10.40%	97.40%	80.00%	ⓒ country_data
ht	Haitian Creole	Kreyòl Ayisyen	Latn	HT	1		≡			100.00%	0.30%	1.00%	18.20%	80.00%	ⓒ time_cycle, ⓑ own_regions
vo	Volapük	Volapük	Latn	1	1		≡			4.20%	0.30%	1.10%	12.00%	80.00%	ⓒ country_data, ⓑ own_regions
