Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
tuk	turk1304	Turkmen	Türkmençe	Spoken & Written	Latn	National	1 Institutional	Vital	8,326,917	6,033,950		east2334	Yes	
acw	hija1235	Hijazi Arabic		Spoken	Arab	Vigorous	2 Stable	Emerging	0	6,023,900	ara	arab1393	Yes, with caveat	To distinguish spoken dialect
kri	krio1253	Krio	Krio		Latn	Wider Communication	1 Institutional	Ascending	8,454,387	6,009,117		west2851	Yes	
fin	finn1318	Finnish	suomi	Spoken & Written	Latn	National	1 Institutional	Thriving	5,876,561	5,738,463		nucl1717	Yes	
grn	tupi1277	Guarani	Avañe'ẽ	Spoken & Written	Latn				4,961,655	5,693,355		sout3271	Yes	
bns	bund1253	Bundeli			Deva	Developing	2 Stable	Emerging	6,577,336	5,626,356		bund1252	Yes	
sou	sout2746	Southern Thai			Thai	Developing	2 Stable	Emerging	5,274,568	5,489,269		laot1235	Yes	
mup	malv1243	Malvi			Deva	Developing	2 Stable	Emerging	6,362,293	5,442,405	raj	bhil1254	Possibly	But probably want to use macrolanguage
nor	norw1258	Norwegian	norsk	Spoken & Written	Latn	National	1 Institutional	Thriving	5,651,217	5,427,267		west2805	Yes	
nob	norw1259	Norwegian Bokmål	Bokmål	Mostly Written (also Spoken)	Latn				5,595,840	5,373,691	nor	norw1258	Possibly	But probably want to use macrolanguage Norwegian [no] unless you know specific Bokmal usage
lug	gand1255	Ganda	Luganda	Spoken & Written	Latn	National	1 Institutional	Vital	5,994,039	5,336,234		nort3220	Yes	
luy	grea1291	Luyia	Luluhia		Latn				5,767,112	5,323,728		grea1289	Yes	
man	mand1435	Mandingo			Latn				4,004,771	5,311,599		mand1434	Yes	
ewe	ewee1241	Ewe	Eʋegbe	Spoken & Written	Latn	Wider Communication	1 Institutional	Ascending	5,962,279	5,214,647		ewei1234	Yes	
lao	laoo1244	Lao	ພາສາລາວ	Spoken & Written	Laoo	National	1 Institutional	Vital	5,382,772	5,161,466		laot1235	Yes	
sck	sadr1248	Sadri	नागपुरी		Deva	Wider Communication	1 Institutional	Ascending	5,995,911	5,129,206		sada1242	Yes	
kab	kaby1243	Kabyle	Taqbaylit	Spoken & Written	Latn	Developing	1 Institutional	Vital	6,629,718	5,037,415		kaby1244	Yes	
lmn	lamb1269	Lambadi			Telu	Developing	2 Stable	Ascending	5,878,787	5,028,806		west2831	Yes	
